"user.login","Coleoptera","Dermaptera","Diptera","Hemiptera","Hymenoptera","Lepidoptera","Mantodea","Megaloptera","Odonata","Orthoptera","Phasmida","Zygentoma","Neuroptera","Mecoptera","Trichoptera","Blattodea","Ephemeroptera","Psocodea"
"jhoekstra",0.146341463414634,0,0.0975609756097561,0.0975609756097561,0.121951219512195,0.317073170731707,0.024390243902439,0,0.109756097560976,0.0487804878048781,0.0121951219512195,0,0.0121951219512195,0,0,0,0,0
"justinscioli",0.164688427299703,0.00593471810089021,0.0459940652818991,0.126112759643917,0.099406528189911,0.405044510385757,0.00890207715133531,0.00148367952522255,0.072700296735905,0.0519287833827893,0,0.00148367952522255,0.00445103857566766,0,0.0029673590504451,0.00445103857566766,0.0029673590504451,0.00148367952522255
"kueda",0.109849126970673,0.00152568231903712,0.0483132734361756,0.0540769621969825,0.0708594677063909,0.605865400915409,0.00355992541108663,0.00186472283437871,0.0715375487370741,0.0200033904051534,0.00288184438040346,0,0.004068486184099,0.00135616206136633,0.000678081030683167,0.00271232412273267,0,0.000508560773012375
"eugenezelenko",0,0,0.03125,0.03125,0.03125,0.28125,0,0,0.5625,0.0625,0,0,0,0,0,0,0,0
"flapack",0.0508474576271186,0,0.0451977401129944,0.0282485875706215,0.0395480225988701,0.610169491525424,0.00564971751412429,0,0.152542372881356,0.0621468926553672,0,0,0,0,0,0.00564971751412429,0,0
"lfelliott",0.162676287307314,0,0.0751065923253526,0.113151853066579,0.0974089865529682,0.427025254181699,0.00360774024270253,0.00688750409970482,0.0682190882256477,0.0324696621843227,0.00163988192850115,0,0.00360774024270253,0.00196785831420138,0,0.00131190554280092,0.00196785831420138,0.00131190554280092
"vishalbhave",0.0465116279069767,0,0,0.0465116279069767,0.0465116279069767,0.790697674418605,0.0465116279069767,0,0.0232558139534884,0,0,0,0,0,0,0,0,0
"annetanne",0.182608695652174,0,0.121739130434783,0.0869565217391304,0.130434782608696,0.391304347826087,0,0,0.0782608695652174,0.00869565217391304,0,0,0,0,0,0,0,0
"dloarie",0.100706713780919,0.00530035335689046,0.0400471142520612,0.0606595995288575,0.0647820965842167,0.571260306242638,0.00412249705535925,0,0.107773851590106,0.0323910482921084,0,0.000588928150765607,0.00176678445229682,0,0.000588928150765607,0.00647820965842167,0.00235571260306243,0
"field_daze",0.11328125,0,0.01171875,0.06640625,0.046875,0.6015625,0.0078125,0.00390625,0.1171875,0.0234375,0.00390625,0,0,0,0,0.00390625,0,0
"folini",0.125,0,0.0227272727272727,0.0596590909090909,0.21875,0.5,0.00568181818181818,0,0.0369318181818182,0.0198863636363636,0,0,0,0.00852272727272727,0,0.00284090909090909,0,0
"johnnybirder",0.137426900584795,0,0.0087719298245614,0.160818713450292,0.087719298245614,0.482456140350877,0.00292397660818713,0,0.0555555555555556,0.0321637426900585,0,0.00292397660818713,0.0175438596491228,0,0.00292397660818713,0.00584795321637427,0,0
"loarie",0.130434782608696,0.00328827183047132,0.0222871757398612,0.0464011691633175,0.0584581658750457,0.599196200219218,0.00401899890390939,0.00182681768359518,0.0949945195469492,0.0288637194008038,0.000730727073438071,0.000365363536719035,0.000365363536719035,0.000365363536719035,0.00109609061015711,0.0062111801242236,0,0.000365363536719035
"melissa_hutchison",0.184210526315789,0,0.056390977443609,0.0902255639097744,0.0338345864661654,0.469924812030075,0.0488721804511278,0,0.0112781954887218,0.0601503759398496,0.0112781954887218,0,0.0037593984962406,0,0.0075187969924812,0.0150375939849624,0,0
"msr",0.0588235294117647,0,0,0.0392156862745098,0.0784313725490196,0.607843137254902,0.0196078431372549,0,0.117647058823529,0.0588235294117647,0,0,0,0,0,0,0,0
"tiggrx",0.159837728194726,0.00446247464503043,0.120892494929006,0.0876267748478702,0.116430020283976,0.453144016227181,0.000811359026369168,0,0.0219066937119675,0.0247464503042596,0,0.000811359026369168,0.00283975659229209,0,0.00324543610547667,0.000405679513184584,0.00202839756592292,0.000405679513184584
"tsoleau",0.25,0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.5,0,0,0.107142857142857,0,0,0,0,0,0,0,0,0
"zabdiel",0.159763313609467,0,0.0236686390532544,0.0355029585798817,0.0769230769230769,0.467455621301775,0,0,0.171597633136095,0.0414201183431953,0,0,0,0.00591715976331361,0.0118343195266272,0,0.00591715976331361,0
"aganansiire",0.0576923076923077,0,0.0192307692307692,0.0192307692307692,0,0.865384615384615,0,0,0.0192307692307692,0.0192307692307692,0,0,0,0,0,0,0,0
"alexanderr",0.390547263681592,0,0.0248756218905473,0.0447761194029851,0.139303482587065,0.176616915422886,0.0199004975124378,0,0.114427860696517,0.0597014925373134,0.00248756218905473,0,0.00746268656716418,0,0,0.0199004975124378,0,0
"alexdreyer",0.263565891472868,0,0.0180878552971576,0.0361757105943152,0.219638242894057,0.201550387596899,0.00775193798449612,0,0.0129198966408269,0.147286821705426,0.00775193798449612,0,0.0671834625322997,0,0,0.0180878552971576,0,0
"andrewdeacon",0.124579124579125,0,0.0235690235690236,0.0471380471380471,0.0774410774410774,0.38047138047138,0.00673400673400673,0.00336700336700337,0.303030303030303,0.0202020202020202,0,0,0.00673400673400673,0,0,0.00673400673400673,0,0
"andrewm",0.229508196721311,0,0.0491803278688525,0.0819672131147541,0.295081967213115,0.229508196721311,0,0,0.0655737704918033,0.0327868852459016,0,0,0,0,0,0.0163934426229508,0,0
