kingdom,kingdom_cnt,phylum,phylum_cnt,class,class_cnt,order,order_cnt
,,,,,,Platygloeales,69
,,,,Cystobasidiomycetes,64,Cyphobasidiales,2
,,,,,,Buckleyzymales,5
,,,,,,Sakaguchiales,5
,,,,,,Cystobasidiales,23
,,,,,,Naohideales,1
,,,,,,Erythrobasidiales,11
,,,,,,Not assigned,17
,,,,Atractiellomycetes,74,Not assigned,7
,,,,,,Atractiellales,67
,,,,Not assigned,33,Not assigned,33
,,,,Dacrymycetes,174,Unilacrymales,1
,,,,,,Dacrymycetales,173
,,,,Microbotryomycetes,326,Kriegeriales,7
,,,,,,Heterogastridiales,17
,,,,,,Leucosporidiales,10
,,,,,,Not assigned,36
,,,,,,Microbotryales,163
,,,,,,Sporidiobolales,93
,,Zygomycota,1082,Zoopagomycetes,227,Zoopagales,227
,,Zygomycota,1082,Zygomycetes,1,Not assigned,1
,,Zygomycota,1082,Mucoromycetes,304,Calcarisporiellales,1
,,,,,,Mucorales,303
,,,,Not assigned,106,Basidiobolales,5
,,,,,,Endogonales,34
,,,,,,Dimargaritales,14
,,,,,,Not assigned,23
,,,,,,Asellariales,13
,,,,,,Umbelopsidales,17
,,,,Kickxellomycetes,322,Priscadvenales,1
,,,,,,Orphellales,14
,,,,,,Kickxellales,41
,,,,,,Harpellales,266
,,,,Mortierellomycetes,122,Mortierellales,122
,,Blastocladiomycota,218,Not assigned,1,Not assigned,1
,,Blastocladiomycota,218,Blastocladiomycetes,217,Blastocladiales,132
,,,,,,Physodermatales,85
,,Chytridiomycota,1053,Sanchytriomycetes,1,Sanchytriales,1
,,Chytridiomycota,1053,Not assigned,23,Nephridiophagales,13
,,,,,,Not assigned,10
,,,,Neocallimastigomycetes,35,Neocallimastigales,35
,,,,Chytridiomycetes,766,Gromochytriales,1
,,,,,,Lobulomycetales,6
,,,,,,Polychytriales,1
,,,,,,Olpidiales,56
,,,,,,Cladochytriales,24
,,,,,,Not assigned,10
,,,,,,Rhizophlyctidales,36
,,,,,,Chytridiales,600
,,,,,,Spizellomycetales,32
,,,,Rhizophydiomycetes,192,Rhizophydiales,192
,,,,Monoblepharidomycetes,36,Monoblepharidales,36
,,Glomeromycota,334,Not assigned,5,Not assigned,5
,,Glomeromycota,334,Glomeromycetes,329,Not assigned,2
,,,,,,Paraglomerales,10
,,,,,,Archaeosporales,18
,,,,,,Diversisporales,153
,,,,,,Glomerales,146
,,Entomophthoromycota,326,Entomophthoromycetes,326,Entomophthorales,326
,,Not assigned,32,Not assigned,32,Not assigned,32
Plantae,366658,Tracheophyta,345869,Liliopsida,77963,Asparagales,39055
,,,,,,Alismatales,4391
,,,,,,Arecales,2604
,,,,,,Acorales,2
,,,,,,Poales,23955
,,,,,,Pandanales,1610
,,,,,,Zingiberales,2810
,,,,,,Petrosaviales,4
,,,,,,Liliales,1764
,,,,,,Dioscoreales,860
,,,,,,Commelinales,908
,,,,Magnoliopsida,253406,Lamiales,27219
,,,,,,Gentianales,22577
,,,,,,Magnoliales,3270
,,,,,,Ericales,13743
,,,,,,Cucurbitales,3027
,,,,,,Caryophyllales,13418
,,,,,,Asterales,38122
,,,,,,Aquifoliales,745
,,,,,,Apiales,5834
,,,,,,Zygophyllales,304
,,,,,,Vitales,1018
,,,,,,Sapindales,6567
,,,,,,Santalales,2488
,,,,,,Rosales,10585
,,,,,,Ranunculales,5966
,,,,,,Piperales,4189
,,,,,,Laurales,3747
,,,,,,Dipsacales,1266
,,,,,,Dilleniales,524
,,,,,,Boraginales,3392
,,,,,,Fabales,22202
,,,,,,Huerteales,27
,,,,,,Icacinales,222
,,,,,,Geraniales,815
,,,,,,Garryales,27
,,,,,,Crossosomatales,70
,,,,,,Brassicales,4759
,,,,,,Capparales,4
,,,,,,Trochodendrales,2
,,,,,,Vahliales,5
,,,,,,Picramniales,53
,,,,,,Cornales,678
,,,,,,Chloranthales,73
,,,,,,Nymphaeales,101
,,,,,,Ceratophyllales,5
,,,,,,Gunnerales,65
,,,,,,Amborellales,1
,,,,,,Austrobaileyales,96
,,,,,,Buxales,130
,,,,,,Canellales,89
,,,,,,Berberidopsidales,4
,,,,,,Bruniales,86
,,,,,,Celastrales,1355
,,,,,,Nepenthales,3
,,,,,,Fagales,1599
,,,,,,Metteniusales,7
,,,,,,Oxalidales,2012
,,,,,,Escalloniales,125
,,,,,,Saxifragales,3082
,,,,,,Myrtales,14537
,,,,,,Malvales,7300
,,,,,,Malpighiales,19024
,,,,,,Proteales,1998
,,,,,,Paracryphiales,37
,,,,,,Solanales,4812
,,,,Lycopodiopsida,1419,Lycopodiales,502
,,,,,,Isoetales,208
,,,,,,Selaginellales,709
,,,,Polypodiopsida,11993,Hymenophyllales,615
,,,,,,Schizaeales,191
,,,,,,Polypodiales,9836
,,,,,,Equisetales,39
,,,,,,Gleicheniales,165
,,,,,,Osmundales,26
,,,,,,Salviniales,76
,,,,,,Psilotales,19
,,,,,,Marattiales,127
,,,,,,Ophioglossales,127
,,,,,,Cyatheales,772
,,,,Ginkgoopsida,1,Ginkgoales,1
,,,,Cycadopsida,355,Cycadales,355
,,,,Gnetopsida,117,Ephedrales,73
,,,,,,Welwitschiales,1
,,,,,,Gnetales,43
,,,,Pinopsida,615,Pinales,615
,,Bryophyta,13362,Sphagnopsida,307,Sphagnales,307
,,Bryophyta,13362,Bryopsida,12953,Schistostegiales,1
,,,,,,Buxbaumiales,28
,,,,,,Archidiales,37
,,,,,,Tetraphidales,14
,,,,,,Orthotrichales,921
,,,,,,Pottiales,1625
,,,,,,Funariales,391
,,,,,,Not assigned,151
,,,,,,Fissidentales,521
,,,,,,Grimmiales,366
,,,,,,Polytrichales,234
,,,,,,Bryales,1754
,,,,,,Dicranales,1548
,,,,,,Hookeriales,818
,,,,,,Leucodontales,948
,,,,,,Hypnales,3416
,,,,,,Isobryales,118
,,,,,,Seligerales,56
,,,,,,Hypnobryales,6
,,,,Andreaeopsida,102,Andreaeales,101
,,,,,,Andreaeobryales,1
,,Anthocerotophyta,221,Leiosporocerotopsida,1,Leiosporocerotales,1
,,Anthocerotophyta,221,Anthocerotopsida,220,Phymatocerotales,2
,,,,,,Dendrocerotales,67
,,,,,,Anthocerotales,87
,,,,,,Notothyladales,64
,,Marchantiophyta,7206,Haplomitriopsida,18,Calobryales,7
,,,,,,Treubiales,11
,,,,Jungermanniopsida,6696,Ptilidiales,7
,,,,,,Pallaviciniales,78
,,,,,,Pleuroziales,12
,,,,,,Porellales,2904
,,,,,,Jungermanniales,3146
,,,,,,Fossombroniales,105
,,,,,,Pelliales,14
,,,,,,Metzgeriales,430
,,,,Marchantiopsida,492,Neohodgsoniales,1
,,,,,,Lunulariales,1
,,,,,,Blasiales,2
,,,,,,Sphaerocarpales,40
,,,,,,Marchantiales,448
Chromista,21263,Ochrophyta,1129,Bacillariophyceae,1129,Naviculales,946
,,,,,,Chaetocerotales,183
,,Miozoa,249,Conoidasida,21,Eucoccidiorida,21
,,Miozoa,249,Dinophyceae,228,Gymnodiniales,228
,,Foraminifera,9076,Tubothalamea,1805,Spirillinida,190
,,,,,,Miliolida,1615
,,,,Not assigned,2364,Lagenida,2304
,,,,,,Involutinida,3
,,,,,,Not assigned,57
,,,,Globothalamea,4240,Textulariida,364
,,,,,,Rotaliida,2940
,,,,,,Lituolida,791
,,,,,,Robertinida,84
,,,,,,Carterinida,7
,,,,,,Loftusiida,54
,,,,Monothalamea,667,Astrorhizida,457
,,,,,,Not assigned,86
,,,,,,Allogromiida,124
,,Ciliophora,8613,Colpodea,263,Bryometopida,30
,,,,,,Cyrtolophosidida,51
,,,,,,Bursariomorphida,54
,,,,,,Bryophryida,8
,,,,,,Sorogenida,2
,,,,,,Grossglockneriida,11
,,,,,,Colpodida,107
,,,,Gymnostomatea,1001,Spathidiida,454
,,,,,,Pleurostomatida,292
,,,,,,Prorodontida,12
,,,,,,Pseudoholophryida,9
,,,,,,Haptorida,198
,,,,,,Cyclotrichida,36
,,,,Kinetofragminophora,513,Suctorida,387
,,,,,,Trichostomatida,88
,,,,,,Apostomatida,19
,,,,,,Plagiopylida,19
,,,,Oligotrichea,837,Tintinnida,319
,,,,,,Strombidiida,147
,,,,,,Oligotrichida,273
,,,,,,Halteriida,26
,,,,,,Choreotrichida,72
,,,,Hypotrichea,1361,Oxytrichida,484
,,,,,,Urostylida,387
,,,,,,Stichotrichida,212
,,,,,,Euplotida,278
,,,,Heterotrichea,697,Heterotrichida,657
,,,,,,Plagiotomida,39
,,,,,,Armophorida,1
,,,,Oligohymenophorea,2648,Peritrichida,1723
,,,,,,Scuticociliatida,190
,,,,,,Hymenostomatida,347
,,,,,,Peniculida,143
,,,,,,Astomatida,201
,,,,,,Pleuronematida,38
,,,,,,Philasterida,6
,,,,Karyorelictea,179,Trachelocercida,91
,,,,,,Loxodida,59
,,,,,,Protoheterotrichida,23
,,,,,,Karyorelictida,6
,,,,Litostomatea,87,Dileptida,85
,,,,,,Tracheliida,2
,,,,Prostomatea,386,Prostomatida,386
,,,,Spirotrichea,79,Odontostomatida,50
,,,,,,Phacodiniida,3
,,,,,,Protocruziida,9
,,,,,,Kiitrichida,5
,,,,,,Licnophorida,12
,,,,Cyrtophoria,305,Chilodonellida,5
,,,,,,Chlamydodontida,20
,,,,,,Dysteriida,70
,,,,,,Cyrtophorida,210
,,,,Nassophorea,208,Synhymeniida,28
,,,,,,Nassulida,172
,,,,,,Nassulopsida,8
,,,,Phyllopharyngea,14,Paracinetida,14
,,,,Not assigned,35,Not assigned,35
,,Radiozoa,417,Polycystina,417,Nassellaria,257
,,,,,,Spumellaria,160
,,Oomycota,1674,Bigyromonadea,1,Developayellales,1
,,Oomycota,1674,Peronosporea,1642,Lagenismatales,1
,,,,,,Pontismatales,2
,,,,,,Peronosporales,1180
,,,,,,Leptomitales,45
,,,,,,Saprolegniales,243
,,,,,,Albuginales,67
,,,,,,Haptoglossales,12
,,,,,,Not assigned,12
,,,,,,Olpidiopsidales,28
,,,,,,Rhipidiales,18
,,,,,,Rozellopsidales,28
,,,,,,Anisolpidiales,6
,,,,Hyphochytrea,23,Hyphochytriales,23
,,,,Not assigned,8,Not assigned,8
,,Cercozoa,52,Phytomyxea,52,Plasmodiophorida,48
,,,,,,Not assigned,4
,,Bigyra,53,Labyrinthulea,53,Labyrinthulida,9
,,,,,,Thraustochytrida,44
Protozoa,2565,Choanozoa,98,Not assigned,2,Not assigned,2
Protozoa,2565,Choanozoa,98,Ichthyosporea,96,Eccrinida,96
Protozoa,2565,Microsporidia,1222,Microsporea,1182,Dissociodihaplophasida,356
,,,,,,Glugeida,292
,,,,,,Not assigned,185
,,,,,,Meiodihaplophasida,325
,,,,,,Chytridiopsida,24
,,,,Rudimicrosporea,28,Metchnikovellida,28
,,,,Not assigned,12,Not assigned,12
,,Mycetozoa,1245,Myxomycetes,1045,Liceales,166
,,,,,,Physarales,434
,,,,,,Trichiales,195
,,,,,,Not assigned,2
,,,,,,Stemonitales,226
,,,,,,Echinosteliales,22
,,,,Dictyosteliomycetes,165,Acytosteliales,80
,,,,,,Not assigned,12
,,,,,,Dictyosteliales,73
,,,,Protosteliomycetes,35,Ceratiomyxales,4
,,,,,,Protosteliales,31
Bacteria,9980,Actinobacteria,2419,Not assigned,2413,Actinomycetales,2321
,,,,,,Nitriliruptorales,1
,,,,,,Euzebyales,1
,,,,,,Solirubrobacterales,7
,,,,,,Thermoleophilales,2
,,,,,,Gaiellales,1
,,,,,,Bifidobacteriales,48
,,,,,,Rubrobacterales,3
,,,,,,Coriobacteriales,29
,,,,Actinobacteria,6,Acidimicrobiales,6
,,Cyanobacteria,632,Not assigned,1,Not assigned,1
,,Cyanobacteria,632,Cyanophyceae,631,Pleurocapsales,7
,,,,,,Chroococcales,160
,,,,,,Chamaesiphonales,16
,,,,,,Nostocales,412
,,,,,,Stigonematales,36
,,Bacteroidetes,845,Not assigned,5,Not assigned,5
,,Bacteroidetes,845,Sphingobacteriia,135,Sphingobacteriales,135
,,Bacteroidetes,845,Bacteroidia,148,Bacteroidales,148
,,Bacteroidetes,845,Flavobacteriia,401,Flavobacteriales,401
,,Bacteroidetes,845,Cytophagia,156,Cytophagales,156
,,Acidobacteria,15,Not assigned,12,Not assigned,1
,,,,,,Acidobacteriales,11
,,,,Holophagae,3,Acanthopleuribacterales,1
,,,,,,Holophagales,2
,,Chloroflexi,25,Dehalococcoidetes,1,Not assigned,1
,,Chloroflexi,25,Ktedonobacteria,4,Thermogemmatisporales,2
,,,,,,Ktedonobacterales,2
,,,,Thermomicrobia,3,Thermomicrobiales,2
,,,,,,Sphaerobacterales,1
,,,,Chloroflexia,9,Chloroflexales,7
,,,,,,Herpetosiphonales,2
,,,,Caldilineae,2,Caldilineales,2
,,,,Anaerolineae,6,Anaerolineales,6
,,Proteobacteria,3571,Alphaproteobacteria,1101,Not assigned,4
,,,,,,Rickettsiales,57
,,,,,,Rhizobiales,399
,,,,,,Rhodospirillales,174
,,,,,,Caulobacterales,64
,,,,,,Kordiimonadales,2
,,,,,,Parvularculales,2
,,,,,,Kiloniellales,1
,,,,,,Sphingomonadales,155
,,,,,,Sneathiellales,2
,,,,,,Rhodobacterales,241
,,,,Betaproteobacteria,511,Not assigned,1
,,,,,,Burkholderiales,350
,,,,,,Nitrosomonadales,15
,,,,,,Rhodocyclales,43
,,,,,,Neisseriales,79
,,,,,,Methylophilales,13
,,,,,,Hydrogenophilales,10
,,,,Gammaproteobacteria,1594,Not assigned,30
,,,,,,Alteromonadales,266
,,,,,,Thiotrichales,56
,,,,,,Legionellales,61
,,,,,,Oceanospirillales,173
,,,,,,Pseudomonadales,248
,,,,,,Cardiobacteriales,5
,,,,,,Chromatiales,108
,,,,,,Enterobacteriales,227
,,,,,,Acidithiobacillales,6
,,,,,,Aeromonadales,44
,,,,,,Vibrionales,125
,,,,,,Xanthomonadales,135
,,,,,,Pasteurellales,74
,,,,,,Salinisphaerales,3
,,,,,,Methylococcales,33
,,,,Zetaproteobacteria,1,Mariprofundales,1
,,,,Deltaproteobacteria,269,Desulfarculales,1
,,,,,,Desulfobacterales,58
,,,,,,Desulfovibrionales,85
,,,,,,Bdellovibrionales,7
,,,,,,Syntrophobacterales,19
,,,,,,Desulfurellales,7
,,,,,,Desulfuromonadales,39
,,,,,,Myxococcales,53
,,,,Epsilonproteobacteria,95,Nautiliales,11
,,,,,,Campylobacterales,84
,,Tenericutes,202,Not assigned,202,Haloplasmatales,1
,,,,,,Acholeplasmatales,15
,,,,,,Entomoplasmatales,55
,,,,,,Anaeroplasmatales,5
,,,,,,Mycoplasmatales,126
,,Firmicutes,1841,Clostridia,595,Thermoanaerobacterales,61
,,,,,,Clostridiales,504
,,,,,,Halanaerobiales,27
,,,,,,Natranaerobiales,3
,,,,Bacilli,1155,Bacillales,761
,,,,,,Lactobacillales,394
,,,,Erysipelotrichia,12,Erysipelotrichales,12
,,,,Negativicutes,77,Selenomonadales,77
,,,,Thermolithobacteria,2,Thermolithobacterales,2
,,Spirochaetae,111,Spirochaetes,111,Spirochaetales,111
,,Deferribacteres,12,Deferribacteres,12,Deferribacterales,12
,,Aquificae,28,Aquificae,28,Aquificales,28
,,Verrucomicrobia,34,Opitutae,9,Puniceicoccales,7
,,,,,,Opitutales,2
,,,,Verrucomicrobiae,25,Verrucomicrobiales,25
,,Thermotogae,40,Thermotogae,40,Thermotogales,40
,,Thermodesulfobacteria,7,Thermodesulfobacteria,7,Thermodesulfobacteriales,7
,,Synergistetes,19,Synergistia,19,Synergistales,19
,,Chrysiogenetes,4,Chrysiogenetes,4,Chrysiogenales,4
,,Chlorobi,17,Ignavibacteria,1,Ignavibacteriales,1
,,Chlorobi,17,Chlorobea,16,Chlorobiales,16
,,Caldiserica,1,Caldisericia,1,Caldisericales,1
,,Chlamydiae,13,Chlamydiae,13,Chlamydiales,13
,,Deinococcus-thermus,74,Deinococci,74,Deinococcales,49
,,,,,,Thermales,25
,,Dictyoglomi,2,Dictyoglomia,2,Dictyoglomales,2
,,Fusobacteria,33,Fusobacteriia,33,Fusobacteriales,33
,,Fibrobacteres,2,Fibrobacteria,2,Fibrobacterales,2
,,Elusimicrobia,1,Elusimicrobia,1,Elusimicrobiales,1
,,Nitrospira,10,Nitrospira,10,Nitrospirales,10
,,Planctomycetes,17,Planctomycetacia,16,Planctomycetales,16
,,Planctomycetes,17,Phycisphaerae,1,Phycisphaerales,1
,,Lentisphaerae,2,Lentisphaeria,2,Victivallales,1
,,,,,,Lentisphaerales,1
,,Gemmatimonadetes,1,Gemmatimonadetes,1,Gemmatimonadales,1
,,Armatimonadetes,2,Armatimonadia,1,Armatimonadales,1
,,Armatimonadetes,2,Chthonomonadetes,1,Chthonomonadales,1
Archaea,377,Euryarchaeota,319,Thermoplasmata,8,Thermoplasmatales,8
Archaea,377,Euryarchaeota,319,Methanomicrobia,72,Methanosarcinales,32
,,,,,,Methanomicrobiales,38
,,,,,,Methanocellales,2
,,,,Halobacteria,138,Halobacteriales,138
,,,,Archaeoglobi,8,Archaeoglobales,8
,,,,Thermococci,34,Thermococcales,34
,,,,Methanopyri,1,Methanopyrales,1
,,,,Methanococci,14,Methanococcales,14
,,,,Methanobacteria,44,Methanobacteriales,44
,,Crenarchaeota,58,Thermoprotei,58,Thermoproteales,14
,,,,,,Fervidicoccales,1
,,,,,,Sulfolobales,18
,,,,,,Desulfurococcales,22
,,,,,,Acidilobales,3
Viruses,6588,Not assigned,469,Not assigned,469,Not assigned,455
,,,,,,Ligamenvirales,14
,,Artverviricota,247,Revtraviricetes,247,Ortervirales,229
,,,,,,Blubervirales,18
,,Uroviricota,1965,Caudoviricetes,1965,Caudovirales,1965
,,Peploviricota,122,Herviviricetes,122,Herpesvirales,122
,,Cossaviricota,343,Papovaviricetes,235,Sepolyvirales,102
,,,,,,Zurhausenvirales,133
,,,,Quintoviricetes,107,Piccovirales,107
,,,,Mouviricetes,1,Polivirales,1
,,Cressdnaviricota,717,Repensiviricetes,558,Geplafuvirales,558
,,Cressdnaviricota,717,Arfiviricetes,159,Mulpavirales,12
,,,,,,Recrevirales,2
,,,,,,Baphyvirales,9
,,,,,,Cremevirales,42
,,,,,,Cirlivirales,94
,,Kitrinoviricota,679,Alsuviricetes,451,Martellivirales,222
,,,,,,Tymovirales,209
,,,,,,Hepelivirales,20
,,,,Tolucaviricetes,128,Tolivirales,128
,,,,Flasuviricetes,89,Amarillovirales,89
,,,,Magsaviricetes,11,Nodamuvirales,11
,,Pisuviricota,770,Pisoniviricetes,443,Picornavirales,312
,,,,,,Nidovirales,109
,,,,,,Sobelivirales,22
,,,,Stelpaviricetes,250,Patatavirales,228
,,,,,,Stellavirales,22
,,,,Duplopiviricetes,77,Durnavirales,77
,,Nucleocytoviricota,146,Megaviricetes,62,Pimascovirales,27
,,,,,,Imitervirales,2
,,,,,,Algavirales,33
,,,,Pokkesviricetes,84,Chitovirales,83
,,,,,,Asfuvirales,1
,,Phixviricota,21,Malgrandaviricetes,21,Petitvirales,21
,,Hofneiviricota,34,Faserviricetes,34,Tubulavirales,34
,,Saleviricota,15,Huolimaviricetes,15,Haloruvirales,15
,,Duplornaviricota,159,Vidaverviricetes,7,Mindivirales,7
,,Duplornaviricota,159,Resentoviricetes,97,Reovirales,97
,,Duplornaviricota,159,Chrymotiviricetes,55,Ghabrivirales,55
,,Negarnaviricota,779,Monjiviricetes,369,Jingchuvirales,30
,,,,,,Mononegavirales,339
,,,,Yunchangviricetes,2,Goujianvirales,2
,,,,Ellioviricetes,383,Bunyavirales,383
,,,,Insthoviricetes,10,Articulavirales,10
,,,,Chunqiuviricetes,8,Muvirales,8
,,,,Milneviricetes,7,Serpentovirales,7
,,Lenarviricota,21,Allassoviricetes,4,Levivirales,4
,,Lenarviricota,21,Amabiliviricetes,2,Wolframvirales,2
,,Lenarviricota,21,Howeltoviricetes,5,Cryppavirales,5
,,Lenarviricota,21,Miaviricetes,10,Ourlivirales,10
,,Dividoviricota,7,Laserviricetes,7,Halopanivirales,7
,,Preplasmiviricota,94,Tectiliviricetes,91,Vinavirales,2
,,,,,,Rowavirales,80
,,,,,,Belfryvirales,2
,,,,,,Kalamavirales,7
,,,,Maveriviricetes,3,Priklausovirales,3
