kingdom,kingdom_cnt,phylum,phylum_cnt,class,class_cnt,order,order_cnt
,,,,,,Diplostraca,1043
,,,,Hexanauplia,14775,Harpacticoida,5136
,,,,,,Siphonostomatoida,2274
,,,,,,Cyclopoida,4240
,,,,,,Calanoida,2759
,,,,,,Monstrilloida,169
,,,,,,Platycopioida,11
,,,,,,Misophrioida,37
,,,,,,Gelyelloida,2
,,,,,,Canuelloida,89
,,,,,,Not assigned,54
,,,,,,Mormonilloida,4
,,,,Ostracoda,6308,Not assigned,80
,,,,,,Myodocopida,947
,,,,,,Halocyprida,438
,,,,,,Platycopina,149
,,,,,,Podocopida,4694
,,,,Pycnogonida,1344,Pantopoda,1344
,,,,Merostomata,4,Xiphosurida,4
,,,,Pauropoda,491,Hexamerocerata,6
,,,,,,Tetramerocerata,485
,,,,Symphyla,100,Not assigned,100
,,,,Cephalocarida,12,Brachypoda,12
,,,,Remipedia,29,Nectiopoda,29
,,,,Collembola,8555,Neelipleona,47
,,,,,,Symphypleona,1144
,,,,,,Poduromorpha,3365
,,,,,,Entomobryomorpha,3999
,,Annelida,13906,Clitellata,2142,Branchiobdellida,150
,,,,,,Not assigned,2
,,,,,,Lumbriculida,227
,,,,,,Haplotaxida,1326
,,,,,,Crassiclitellata,73
,,,,,,Enchytraeida,358
,,,,,,Capilloventrida,6
,,,,Polychaeta,11764,Amphinomida,208
,,,,,,Sabellida,1429
,,,,,,Echiuroidea,172
,,,,,,Eunicida,1375
,,,,,,Spionida,666
,,,,,,Phyllodocida,4570
,,,,,,Terebellida,1721
,,,,,,Not assigned,1623
,,Sipuncula,206,Phascolosomatidea,69,Aspidosiphoniformes,25
,,,,,,Phascolosomatiformes,44
,,,,Sipunculidea,137,Golfingiiformes,101
,,,,,,Sipunculiformes,36
,,Tardigrada,1018,Eutardigrada,628,Parachela,613
,,,,,,Apochela,15
,,,,Mesotardigrada,1,Thermozodia,1
,,,,Heterotardigrada,389,Echiniscoidea,244
,,,,,,Arthrotardigrada,145
,,Onychophora,167,Udeonycophora,167,Euonycophora,167
,,Micrognathozoa,1,Micrognathozoa,1,Limnognathida,1
,,Hemichordata,139,Enteropneusta,113,Not assigned,113
,,Hemichordata,139,Pterobranchia,26,Not assigned,19
,,,,,,Rhabdopleurida,7
,,Kamptozoa,173,Entoprocta,171,Coloniales,124
,,,,,,Solitaria,47
,,,,Cycliophora,2,Symbiida,2
,,Acanthocephala,1330,Eoacanthocephala,255,Neoechinorhynchida,157
,,,,,,Gyracanthocephala,98
,,,,Polyacanthocephala,4,Polyacanthorhynchida,4
,,,,Archiacanthocephala,187,Oligacanthorhynchida,96
,,,,,,Moniliformida,20
,,,,,,Gigantorhynchida,64
,,,,,,Apororhynchida,7
,,,,Palaeacanthocephala,884,Heteramorphida,1
,,,,,,Polymorphida,359
,,,,,,Echinorhynchida,524
,,Bryozoa,5434,Stenolaemata,520,Cyclostomatida,520
,,Bryozoa,5434,Gymnolaemata,4845,Cheilostomatida,4552
,,,,,,Ctenostomatida,293
,,,,Phylactolaemata,69,Plumatellida,66
,,,,,,Not assigned,3
,,Cephalorhyncha,237,Kinorhyncha,188,Homalorhagida,68
,,,,,,Cyclorhagida,120
,,,,Priapulida,22,Priapulomorpha,17
,,,,,,Meiopriapulomorpha,1
,,,,,,Seticoronaria,2
,,,,,,Halicryptomorpha,2
,,,,Loricifera,27,Nanaloricida,27
,,Xenacoelomorpha,456,Not assigned,456,Nemertodermatida,18
,,,,,,Acoela,432
,,,,,,Not assigned,6
,,Chordata,71506,Cephalaspidomorphi,47,Petromyzontiformes,47
,,Chordata,71506,Actinopterygii,32513,Siluriformes,3781
,,,,,,Lepisosteiformes,7
,,,,,,Gymnotiformes,234
,,,,,,Cypriniformes,4418
,,,,,,Gobiesociformes,167
,,,,,,Ateleopodiformes,13
,,,,,,Mugiliformes,78
,,,,,,Cetomimiformes,33
,,,,,,Amiiformes,1
,,,,,,Batrachoidiformes,83
,,,,,,Gadiformes,618
,,,,,,Synbranchiformes,120
,,,,,,Ophidiiformes,532
,,,,,,Percopsiformes,10
,,,,,,Esociformes,14
,,,,,,Beloniformes,271
,,,,,,Stephanoberyciformes,70
,,,,,,Cyprinodontiformes,1306
,,,,,,Anguilliformes,918
,,,,,,Syngnathiformes,323
,,,,,,Gasterosteiformes,29
,,,,,,Osteoglossiformes,253
,,,,,,Pleuronectiformes,785
,,,,,,Osmeriformes,326
,,,,,,Stomiiformes,415
,,,,,,Tetraodontiformes,439
,,,,,,Salmoniformes,225
,,,,,,Atheriniformes,355
,,,,,,Albuliformes,13
,,,,,,Aulopiformes,264
,,,,,,Lophiiformes,359
,,,,,,Clupeiformes,395
,,,,,,Scorpaeniformes,1641
,,,,,,Characiformes,2143
,,,,,,Perciformes,11248
,,,,,,Notacanthiformes,28
,,,,,,Gonorynchiformes,37
,,,,,,Beryciformes,163
,,,,,,Saccopharyngiformes,28
,,,,,,Acipenseriformes,27
,,,,,,Elopiformes,9
,,,,,,Lampriformes,23
,,,,,,Polypteriformes,14
,,,,,,Zeiformes,33
,,,,,,Myctophiformes,254
,,,,,,Polymixiiformes,10
,,,,Thaliacea,78,Salpida,45
,,,,,,Pyrosomatida,8
,,,,,,Doliolida,25
,,,,Reptilia,10233,Testudines,344
,,,,,,Crocodylia,25
,,,,,,Squamata,9863
,,,,,,Rhynchocephalia,1
,,,,Mammalia,5828,Primates,508
,,,,,,Monotremata,5
,,,,,,Tubulidentata,1
,,,,,,Hyracoidea,4
,,,,,,Proboscidea,3
,,,,,,Sirenia,4
,,,,,,Perissodactyla,24
,,,,,,Artiodactyla,244
,,,,,,Scandentia,20
,,,,,,Soricomorpha,415
,,,,,,Macroscelidea,15
,,,,,,Dermoptera,2
,,,,,,Lagomorpha,98
,,,,,,Microbiotheria,1
,,,,,,Dasyuromorphia,75
,,,,,,Paucituberculata,6
,,,,,,Peramelemorphia,21
,,,,,,Notoryctemorphia,2
,,,,,,Cetacea,90
,,,,,,Carnivora,289
,,,,,,Erinaceomorpha,24
,,,,,,Cingulata,21
,,,,,,Pilosa,16
,,,,,,Rodentia,2339
,,,,,,Pholidota,8
,,,,,,Diprotodontia,140
,,,,,,Didelphimorphia,87
,,,,,,Afrosoricida,51
,,,,,,Chiroptera,1315
,,,,Ascidiacea,2925,Stolidobranchia,1042
,,,,,,Aplousobranchia,1545
,,,,,,Phlebobranchia,338
,,,,Appendicularia,68,Copelata,68
,,,,Leptocardii,30,Not assigned,30
,,,,Sarcopterygii,8,Ceratodontiformes,1
,,,,,,Lepidosireniformes,5
,,,,,,Coelacanthiformes,2
,,,,Elasmobranchii,1226,Squatiniformes,24
,,,,,,Pristiophoriformes,8
,,,,,,Lamniformes,16
,,,,,,Carcharhiniformes,292
,,,,,,Orectolobiformes,45
,,,,,,Rajiformes,300
,,,,,,Torpediniformes,71
,,,,,,Rhinopristiformes,73
,,,,,,Myliobatiformes,245
,,,,,,Squaliformes,137
,,,,,,Hexanchiformes,6
,,,,,,Heterodontiformes,9
,,,,Myxini,82,Myxiniformes,82
,,,,Holocephali,56,Chimaeriformes,56
,,,,Amphibia,8054,Anura,7104
,,,,,,Gymnophiona,212
,,,,,,Caudata,738
,,,,Aves,10358,Accipitriformes,264
,,,,,,Cariamiformes,2
,,,,,,Eurypygiformes,2
,,,,,,Leptosomiformes,1
,,,,,,Otidiformes,26
,,,,,,Mesitornithiformes,3
,,,,,,Opisthocomiformes,1
,,,,,,Phaethontiformes,3
,,,,,,Pteroclidiformes,16
,,,,,,Bucerotiformes,63
,,,,,,Suliformes,55
,,,,,,Phoenicopteriformes,6
,,,,,,Passeriformes,6226
,,,,,,Trogoniformes,39
,,,,,,Coliiformes,6
,,,,,,Coraciiformes,147
,,,,,,Piciformes,406
,,,,,,Caprimulgiformes,113
,,,,,,Apodiformes,442
,,,,,,Charadriiformes,380
,,,,,,Procellariiformes,138
,,,,,,Nyctibiiformes,7
,,,,,,Tinamiformes,47
,,,,,,Apterygiformes,5
,,,,,,Casuariiformes,4
,,,,,,Struthioniformes,2
,,,,,,Rheiformes,2
